,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
34,34.0,5834.0,5809.0,25.0,99.57147754542338,0.42852245457662264,198374.0,191804.0,6570.0,33.358377682702006,77.5312721265046,44.1728944438026,29.193911719939116
35,35.0,5835.0,5804.0,31.0,99.46872322193659,0.5312767780634147,204209.0,197608.0,6601.0,34.36780409753383,77.89709700259618,43.529292905062356,29.93607029237994
36,36.0,5834.0,5803.0,31.0,99.46863215632499,0.5313678436750138,210043.0,203411.0,6632.0,35.37705659327281,78.26292187868775,42.88586528541494,30.671139927623642
37,37.0,5835.0,5802.0,33.0,99.43444730077121,0.5655526992287889,215878.0,209213.0,6665.0,36.38613516991895,78.65234835968846,42.26621318976951,31.38979744936234
38,38.0,5835.0,5812.0,23.0,99.60582690659811,0.3941730934018892,221713.0,215025.0,6688.0,37.39695293749348,78.9237668161435,41.52681387865002,32.150867224880386
39,39.0,5834.0,5804.0,30.0,99.48577305450806,0.5142269454919415,227547.0,220829.0,6718.0,38.406379352325295,79.2777908897805,40.87141153745521,32.87124144090503
40,40.0,5835.0,5812.0,23.0,99.60582690659811,0.3941730934018892,233382.0,226641.0,6741.0,39.417197119899825,79.54920934623554,40.13201222633572,33.6212728081887
41,41.0,5834.0,5806.0,28.0,99.52005485087419,0.4799451491258111,239216.0,232447.0,6769.0,40.42697137291732,79.87963181496342,39.452660442046096,34.339932043137836
42,42.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,245051.0,238247.0,6804.0,41.435702111377786,80.29265990087326,38.856957789495475,35.01572604350382
43,43.0,5834.0,5802.0,32.0,99.45149125814193,0.5485087418580719,250885.0,244049.0,6836.0,42.44478068802393,80.6702855794194,38.22550489139547,35.700555880631946
44,44.0,5835.0,5807.0,28.0,99.52013710368466,0.47986289631533907,256720.0,249856.0,6864.0,43.45472886013427,81.00070804814727,37.54597918801301,36.4009324009324
45,45.0,5834.0,5799.0,35.0,99.40006856359273,0.5999314364072745,262554.0,255655.0,6899.0,44.463285679501894,81.41373613405712,36.950450454555224,37.05681982896072
46,46.0,5835.0,5802.0,33.0,99.43444730077121,0.5655526992287889,268389.0,261457.0,6932.0,45.47236425614804,81.80316261505783,36.33079835890979,37.71739757645701
47,47.0,5834.0,5794.0,40.0,99.3143640726774,0.6856359273225934,274223.0,267251.0,6972.0,46.48005148005148,82.2751947132405,35.795143233189016,38.33204245553643
